ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE,HYDROCODONE,OXYCODONE
31315,35846,7488,632.967033,0.0,0.0
31316,40506,9749,33.69858279,3510.0,7797.5
31318,45463,341,251.10456549999998,0.0,0.0
31320,54503,8794,75.96686276,4575.0,2070.0
31321,48835,6326,45.69686638,5812.5,40325.0
31322,42819,21137,734.9699224999999,100670.0,42030.0
31323,34008,1762,14.13331194,0.0,0.0
31324,77106,20495,160.5147122,30270.0,34160.0
31326,61642,19269,275.031758,40585.0,30354.8355
31327,37917,195,5.079844738999999,0.0,0.0
31328,53309,3306,592.3669593,927.5,4852.5
31329,55857,9034,85.48609928,3995.0,4279.8355
31331,37665,7856,26.57690421,1947.5,670.0
31401,22949,21696,4535.117057,9885.0,5017.5
31404,30787,31024,2105.177445,27562.5,28239.8355
31405,41926,37207,1221.343225,63852.5,113081.513
31406,51711,33965,1322.212706,45497.5,33855.0
31408,29458,9952,407.9357272,14977.5,37627.2035
31409,34405,652,98.00090185,0.0,0.0
31410,66667,23654,1210.542477,23152.5,24444.671000000002
31411,96925,8384,396.5003547,1475.0,3102.5
31415,24331,12091,1985.059924,0.0,0.0
31419,52206,50954,803.9064102000001,57877.5,85820.0
31501,36731,15576,1182.1493619999999,107777.5,156572.5
31503,38920,21116,63.68854264,0.0,0.0
31510,33926,9848,47.05679977,21670.0,173717.5
31512,42892,2248,28.46722723,0.0,0.0
31513,36526,16084,48.68466058,23132.5,39339.8355
31516,39194,14735,97.35904907,19287.5,60090.3615
31518,46963,704,15.58556564,0.0,0.0
31519,34101,3569,27.1313999,5352.5,44725.0
31520,29871,22336,1324.164098,38517.5,163892.3355
31522,80117,14447,267.0918839,26410.0,15651.6775
31523,57919,13229,71.49960545,15735.0,21657.3355
31525,51250,28247,287.6945327,35447.5,100802.5
31527,61572,805,45.61164939,0.0,0.0
31532,35439,727,14.15829244,0.0,0.0
31533,35017,17494,274.084635,112940.0,72977.3355
31535,34351,11264,115.2492429,0.0,0.0
31537,40941,10097,34.80355998,19107.5,25050.0
31539,33279,14468,53.60762097,24335.0,30944.013
31542,40709,2811,27.53452836,0.0,0.0
31543,37031,4796,38.39748927,0.0,0.0
31544,20620,994,9.803244736,0.0,0.0
31545,35806,16133,162.94149130000002,59955.0,128960.0
31546,38366,8095,47.65100276,0.0,0.0
31547,41860,1293,513.7067938,0.0,0.0
31548,47057,20020,357.5638507,30267.5,30297.5
31549,21879,2239,19.98179417,4135.0,43487.3355
31550,33597,780,15.289321,0.0,0.0
31551,43570,1020,15.67976388,0.0,0.0
31552,44784,932,10.8912858,0.0,0.0
31553,34041,5237,30.59245499,8357.5,43542.5
31554,29921,7076,35.83692074,4870.0,88365.0
31555,39105,2868,19.44129988,0.0,0.0
31556,38598,67,144.3965517,0.0,0.0
31557,38682,3043,29.11961722,2275.0,4800.0
31558,54294,20373,270.7951192,32580.0,52100.95250000001
31560,40928,2842,20.76225682,1812.5,3205.0
31561,86585,298,61.83855572,0.0,0.0
31562,39803,2177,20.44246624,0.0,0.0
31563,45582,1324,11.88712617,0.0,0.0
31565,38824,1841,14.29192479,0.0,0.0
31566,37327,3471,54.83585579,2242.5,17965.0
31567,27107,782,19.17371583,0.0,0.0
31568,38824,1273,10.17309444,5.0,0.0
31569,58519,5580,85.56444935,4277.5,22267.3355
31601,28722,32730,213.3818381,52640.0,27357.171000000002
31602,43060,34702,851.0398273,111735.0,72926.6775
31605,48117,20188,379.11737089999997,15447.5,11375.0
31606,45592,3861,87.59869317,0.0,0.0
31620,36758,10690,86.1929949,17642.5,22222.5
31622,31308,2178,19.65952377,0.0,0.0
31624,35339,1273,16.09802979,0.0,0.0
31625,46382,1171,19.53718071,0.0,0.0
31626,31174,3463,24.23237328,132.5,40.0
31627,32928,239,279.5321637,0.0,0.0
31629,36016,902,20.68617558,0.0,0.0
31630,10387,419,4.706384508,0.0,0.0
31631,24146,559,4.5642713089999996,0.0,0.0
31632,52552,10295,92.78787223,2665.0,5160.0
31634,3886,5844,21.49841447,18772.5,11112.5
31635,34697,6560,58.25673816,5545.0,6650.0
31636,44756,9539,48.29775599,7327.5,5372.5
31637,24294,2848,36.21382432,0.0,0.0
31638,46323,1045,38.68937431,0.0,0.0
31639,31698,10537,47.83761452,17255.0,16682.5
31641,39577,1831,23.22601923,0.0,0.0
31642,33711,4898,26.89612757,9065.0,3137.5
31643,35901,8709,33.15579684,22115.0,32557.5
31645,34291,5147,103.7157941,0.0,0.0
31647,35937,3535,78.52065749,0.0,0.0
31648,30625,1040,225.3032929,0.0,0.0
31649,48558,1056,21.42683224,0.0,0.0
31650,33245,3311,32.72676953,4467.5,862.5
31698,18799,2223,26464.28571,202.5,0.0
31699,54177,621,1154.275093,0.0,0.0
31701,24689,20552,760.1997411,32525.0,62472.171
31705,28735,35565,231.14718939999997,19102.5,10882.5
31707,40864,25299,1348.848369,32132.5,34537.5
31709,35726,16019,126.13882439999999,24425.0,16105.0
31711,35759,867,14.75619096,0.0,0.0
31712,34965,1263,25.71254072,0.0,0.0
31714,27658,6474,34.48184031,9147.5,6955.0
31716,38001,2896,35.80303386,0.0,0.0
31719,30202,10977,116.66241550000001,0.0,0.0
31720,37641,455,98.16612729,0.0,0.0
31721,67836,20095,94.28208148,340.0,0.0
31722,32456,494,657.7896138,0.0,0.0
31730,37014,9682,38.29374889,20535.0,5765.0
31733,55199,1580,27.70325952,0.0,0.0
31735,33050,817,37.55803797,0.0,0.0
31738,33526,2102,33.76598342,0.0,0.0
31743,35498,630,11.62747776,0.0,0.0
31744,39263,3202,26.10659514,1015.0,767.171
31747,32456,281,355.24652339999994,0.0,0.0
31749,29891,2783,47.28971963,0.0,0.0
31750,30451,18687,66.36833413,39420.0,18297.5
31756,45433,966,24.74955804,0.0,0.0
31757,37171,10451,122.7781629,10737.5,3406.513
31763,58899,23304,92.23608385,5725.0,6827.5
31764,34475,1296,16.48624238,0.0,0.0
31765,29855,2647,31.25738038,0.0,0.0
31768,32659,23617,156.349096,34877.5,32577.5
31771,31458,5666,52.69668251,0.0,0.0
31772,35750,482,7.654438622000001,15.0,0.0
31773,46156,3729,44.03429219,0.0,0.0
31774,34049,6714,40.05154086,4517.5,3210.0
31775,31353,2979,65.56186452,1865.0,2010.0
31778,38052,2562,24.16798732,0.0,0.0
31779,35429,9927,70.30552841,18102.5,3857.5
31780,32438,2285,22.90749782,552.5,1155.0
31781,34540,1752,64.26527768,0.0,0.0
31783,42587,1107,11.1591617,0.0,0.0
31784,39800,781,23.30230338,0.0,0.0
31787,40714,1488,16.86348285,0.0,0.0
31788,39808,10602,83.23977168,8985.0,1237.5
31789,33785,1236,19.28778752,0.0,0.0
31790,40530,2078,32.10357187,0.0,0.0
31791,37693,12354,65.06488582,14815.0,9579.835500000001
31792,35430,23835,113.053707,35802.5,32594.539000000004
31793,43511,9043,90.87254932,0.0,0.0
31794,36483,27153,241.25920730000004,55620.0,51984.013000000006
31795,43525,2010,40.60277957,0.0,0.0
31796,35750,1112,18.26424019,630.0,665.0
31798,35542,983,12.70386932,0.0,0.0
31801,40760,3008,34.800717299999995,0.0,0.0
31803,30811,5662,20.023198899999997,2262.5,850.0
31804,77075,5934,112.7301051,0.0,0.0
31805,45219,3191,45.05725703,0.0,0.0
31806,32689,4962,30.17642444,880.0,2092.5
31807,67780,2483,213.57302599999997,0.0,0.0
31808,70197,6679,128.5164518,0.0,0.0
31810,27377,225,17.89833744,0.0,0.0
31811,64447,5103,39.03614458,2240.0,1457.5
31812,32032,565,6.728032676000001,0.0,0.0
31814,32891,272,16.38949144,0.0,0.0
31815,32526,3675,14.76532178,852.5,822.5
31816,31872,6091,153.5378488,19680.0,10610.0
31820,73748,8473,211.95747340000003,6977.5,8005.0
31821,32891,250,2.754062242,0.0,0.0
31822,53562,5429,47.35776967,4632.5,2952.5
31823,47018,754,88.37318331,0.0,0.0
31824,23789,1838,16.35726109,0.0,0.0
31825,25211,2312,17.54718843,2115.0,2025.0
31826,41901,2350,44.94854826,0.0,0.0
31827,37983,2134,14.11170332,0.0,0.0
31829,78706,1370,117.41515259999998,0.0,0.0
31830,40054,2191,40.31056243,0.0,0.0
31831,63258,3095,46.47496058,0.0,0.0
31832,19787,217,8.780448329,0.0,0.0
31833,45581,6900,70.33639144,722.5,350.0
31836,34886,1154,13.93803974,0.0,0.0
31901,19531,8638,1941.1235960000001,40555.0,50944.8355
31903,24295,20128,2009.785322,15642.5,5312.5
31904,51306,32871,1140.126947,75247.5,207262.5
31905,94607,9,0.233590283,0.0,0.0
31906,38249,21757,3166.9577870000003,18395.0,14875.0
31907,38710,55332,2405.216257,32315.0,33337.171
31909,56878,35177,1931.740802,74842.5,61157.5
32003,86777,27126,1713.9066149999999,35445.0,94285.0
32008,36554,5309,38.44621947,3585.0,12235.0
32009,62643,3325,38.64930838,0.0,0.0
32011,56680,13854,79.85658785,32275.0,79687.171
32024,43185,18733,130.9725232,4085.0,13165.0
32025,38219,22380,229.7104499,35212.5,87520.0
32026,41433,1959,3009.21659,0.0,0.0
32033,51131,4118,53.47496364,65.0,0.0
32034,56569,31008,546.9651267,56280.0,156229.67099999997
32038,38594,9228,86.04276031,2340.0,9155.0
32040,50848,7604,62.45893021,0.0,0.0
32043,57042,24632,121.49431299999999,29992.5,202365.0
32044,43890,2060,88.37408837,0.0,0.0
32046,49169,9410,48.74662633,10932.5,7400.0
32052,4558,9223,33.41775638,7350.0,18209.8355
32053,38403,3869,31.41110471,0.0,0.0
32054,38547,12307,57.49215188,10997.5,27094.013
32055,25541,16570,88.34270786,55907.5,179776.842
32058,46607,4416,61.20327637,0.0,0.0
32059,38052,2377,20.08755028,0.0,0.0
32060,32973,21363,53.93403098,15817.5,5472.5
32061,35849,283,12.8712421,0.0,0.0
32062,38224,2449,39.71007913,0.0,0.0
32063,48590,13429,131.3966459,62957.5,156495.0
32064,22625,6860,891.2563336000001,20220.0,38997.3355
32065,65307,32770,1878.906026,50462.5,88282.3355
32066,24177,7312,26.40645427,5042.5,3552.5
32068,52497,50815,502.67088729999995,49740.0,131944.8355
32071,34047,3671,34.75733303,50.0,0.0
32072,43913,324,12.08369075,0.0,0.0
32073,58012,38920,2370.7132850000003,52420.0,243065.0
32079,65179,433,824.7619047999999,0.0,0.0
32080,52825,20165,1296.201067,15307.5,47329.8355
32081,64656,4524,118.46343190000002,372.5,987.5
32082,97800,28996,871.9814754,12965.0,147565.0
32083,13854,4690,116.92844679999999,0.0,0.0
32084,37579,29729,624.3227350999999,19510.0,32494.342
32086,49689,24546,372.9261623,59377.5,192091.01949999997
32087,45142,5518,40.86045392,0.0,0.0
32091,27394,15472,115.9654922,35387.5,162889.8355
32092,80960,28242,224.26745019999998,7145.0,90757.5
32094,36941,2724,47.09055077,25.0,0.0
