,ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
708,3431,49288,25280,425.08827980000007
709,3440,61481,2692,74.42014762
710,3441,36932,395,100.86823290000001
711,3442,67351,1491,133.9622642
712,3443,79400,742,66.78066781
713,3444,60369,1590,56.65823326
714,3445,60369,691,34.54136466
715,3446,52053,6285,146.95566780000001
716,3447,67839,2422,69.16047973
717,3448,55170,811,41.68808471
718,3449,64231,1654,55.18483918
719,3450,60369,961,51.7167151
720,3451,44533,4077,190.3983561
721,3452,56637,5457,142.4357904
722,3455,55913,2086,88.71310709
723,3456,55170,742,28.59675492
724,3457,60369,852,37.07087848
725,3458,70275,6643,124.5453523
726,3461,68250,6014,161.6536301
727,3462,79400,1562,79.92631633
728,3464,60369,1109,22.27712828
729,3465,55910,2156,122.34012369999999
730,3466,79400,1332,87.18418641
731,3467,79400,1842,52.01479683
732,3470,43642,5033,57.62405257
733,3561,44787,5939,116.54009930000001
734,3570,39342,10051,95.21599091
735,3574,58082,2526,27.8807947
736,3575,60741,124,4.4631609260000005
737,3576,36884,3238,22.75842195
738,3579,41891,103,0.187486803
739,3580,56505,1369,14.38538974
740,3581,43217,3230,21.48149133
741,3582,35740,2577,30.23583245
742,3583,60741,1107,21.9895912
743,3584,46889,3774,63.94659256
744,3585,50406,2519,31.14105575
745,3586,58082,547,32.87062076
746,3588,52026,1641,11.51183102
747,3590,35828,1052,9.990503324
748,3592,38616,1145,3.4788156839999997
749,3593,60741,313,3.351716014
750,3595,60741,639,17.39154102
751,3597,38550,521,9.753084109
752,3598,48061,3285,53.23803967
753,3601,58667,477,24.84116238
754,3602,56041,2654,45.75152132
755,3603,49290,5412,126.98859640000002
756,3604,58112,69,141.3934426
757,3605,52648,1160,35.83454326
758,3607,58667,322,20.68345324
759,3608,58112,2811,83.16814107
760,3609,58112,854,957.3991030999999
761,3740,50092,911,26.57448733
762,3741,60392,4208,54.73749935
763,3743,42247,14103,230.55419320000001
764,3745,77619,1424,40.74625157
765,3746,77619,216,30.17602682
766,3748,61496,4762,110.85504109999998
767,3750,110729,870,69.44444444
768,3751,64611,583,191.6502301
769,3752,52648,810,36.02722057
770,3753,81000,2971,109.56226720000001
771,3754,45794,86,2263.157895
772,3755,81607,10538,291.9032714
773,3765,41575,503,114.3701683
774,3766,59682,8958,281.93749410000004
775,3768,70144,1716,31.87458206
776,3770,77619,524,105.9013743
777,3771,50406,754,34.23848878
778,3773,49852,7841,84.94296331
779,3774,41575,1966,75.89268481
780,3777,59259,1237,27.30925468
781,3779,59259,790,19.84475872
782,3780,41614,410,25.21215103
783,3781,77619,1840,38.96571441
784,3782,59775,2945,139.47430740000001
785,3784,56652,4086,487.4150066000001
