BUYER_ZIP,BUYER_COUNTY,BUYER_CITY,BUYER_STATE,COUNT
85345,MARICOPA,PEORIA,AZ,6011
46032,HAMILTON,CARMEL,IN,6009
33756,PINELLAS,CLEARWATER,FL,6008
13021,CAYUGA,AUBURN,NY,6006
95667,EL DORADO,PLACERVILLE,CA,6005
82609,NATRONA,CASPER,WY,6003
28092,LINCOLN,LINCOLNTON,NC,6002
29605,GREENVILLE,GREENVILLE,SC,6002
2920,PROVIDENCE,CRANSTON,RI,5996
77429,HARRIS,CYPRESS,TX,5995
37067,WILLIAMSON,FRANKLIN,TN,5991
27534,WAYNE,GOLDSBORO,NC,5989
84770,WASHINGTON,ST GEORGE,UT,5988
28659,WILKES,NORTH WILKESBORO,NC,5985
31545,WAYNE,JESUP,GA,5982
6614,FAIRFIELD,STRATFORD,CT,5969
34668,PASCO,PORT RICHEY,FL,5963
32822,ORANGE,ORLANDO,FL,5961
64014,JACKSON,BLUE SPRINGS,MO,5960
16101,LAWRENCE,NEW CASTLE,PA,5960
37066,SUMNER,GALLATIN,TN,5956
13440,ONEIDA,ROME,NY,5953
66502,RILEY,MANHATTAN,KS,5947
97603,KLAMATH,KLAMATH FALLS,OR,5943
38801,LEE,TUPELO,MS,5943
89119,CLARK,LAS VEGAS,NV,5936
22630,WARREN,FRONT ROYAL,VA,5935
75090,GRAYSON,SHERMAN,TX,5934
85029,MARICOPA,PHOENIX,AZ,5932
37312,BRADLEY,CLEVELAND,TN,5930
81005,PUEBLO,PUEBLO,CO,5930
77074,HARRIS,HOUSTON,TX,5928
40272,JEFFERSON,LOUISVILLE,KY,5926
80501,BOULDER,LONGMONT,CO,5925
72712,BENTON,BENTONVILLE,AR,5924
17201,FRANKLIN,CHAMBERSBURG,PA,5923
29501,FLORENCE,FLORENCE,SC,5921
40356,JESSAMINE,NICHOLASVILLE,KY,5918
19963,SUSSEX,MILFORD,DE,5913
32907,BREVARD,PALM BAY,FL,5912
28472,COLUMBUS,WHITEVILLE,NC,5910
74104,TULSA,TULSA,OK,5906
68025,DODGE,FREMONT,NE,5906
78229,BEXAR,SAN ANTONIO,TX,5902
92395,SAN BERNARDINO,VICTORVILLE,CA,5901
65616,TANEY,BRANSON,MO,5890
27407,GUILFORD,GREENSBORO,NC,5890
84404,WEBER,OGDEN,UT,5886
43026,FRANKLIN,HILLIARD,OH,5885
30101,COBB,ACWORTH,GA,5884
93534,LOS ANGELES,LANCASTER,CA,5883
